WD17CD,Proportion,Extent,Score,Income_Proportion,Income_Extent,Income_Score,Employment_Proportion,Employment_Extent,Employment_Score,Education_Proportion,Education_Extent,Education_Score,Health_Proportion,Health_Extent,Health_Score,Crime_Proportion,Crime_Extent,Crime_Score,Housing_and_Access_Proportion,Housing_and_Access_Extent,Housing_and_Access_Score,Environment_Proportion,Environment_Extent,Environment_Score
E05000026,0,0.42054500550679164,31.345440519974638,0,0.42054500550679164,0.1902289156626506,0,0.42054500550679164,0.09313056436271401,0,0.42054500550679164,16.34814299302473,0,0.42054500550679164,0.00512923272035511,0.14285714285714285,0.42054500550679164,0.673542041851617,1,0.42054500550679164,50.15187032339886,0.14285714285714285,0.42054500550679164,34.97465979708307
E05000027,0,0.6186806530392477,35.44456202046035,0,0.6186806530392477,0.21468761417610524,0,0.6186806530392477,0.1368929484837413,0,0.6186806530392477,26.591469857508223,0,0.6186806530392477,0.3712950310559006,0.16666666666666666,0.6186806530392477,0.6110301424917793,1,0.6186806530392477,46.127954055535255,0,0.6186806530392477,26.566574716843256
E05000028,0,0.6126757576071099,35.38270663783501,0,0.6126757576071099,0.20810163160998624,0,0.6126757576071099,0.12496343620994693,0,0.6126757576071099,25.757357053928313,0,0.6126757576071099,0.3634509534106546,0.125,0.6126757576071099,0.7894521328877531,1,0.6126757576071099,44.812883231767245,0.125,0.6126757576071099,33.118914291330846
E05000029,0,0.45136877119268753,32.151825805322126,0,0.45136877119268753,0.19104919467787113,0,0.45136877119268753,0.12192638305322129,0,0.45136877119268753,27.00002643557423,0.16666666666666666,0.45136877119268753,0.1791833858543417,0.16666666666666666,0.45136877119268753,0.6060516456582633,0.8333333333333334,0.45136877119268753,43.29089907212885,0,0.45136877119268753,24.245278098739494
E05000030,0,0.19917263375981387,25.581972116712706,0,0.19917263375981387,0.1541841332872928,0,0.19917263375981387,0.10069414709944752,0,0.19917263375981387,23.84629316298343,0,0.19917263375981387,0.10141902624309392,0,0.19917263375981387,0.17976363950276245,0.5714285714285714,0.19917263375981387,38.91658839779006,0,0.19917263375981387,21.748123273480665
E05000031,0,0.4645808024427881,33.18593613537118,0,0.4645808024427881,0.18556542420461636,0,0.4645808024427881,0.11401598565190268,0,0.4645808024427881,28.52392248908297,0,0.4645808024427881,0.16683975358702435,0.2857142857142857,0.4645808024427881,0.5891246101060512,1,0.4645808024427881,46.86675904553961,0.14285714285714285,0.4645808024427881,32.9559481441048
E05000032,0.14285714285714285,0.6771400270645179,36.60001047795599,0.2857142857142857,0.6771400270645179,0.22496913032965263,0,0.6771400270645179,0.1257887482872572,0,0.6771400270645179,24.712562343838155,0,0.6771400270645179,0.23970089465624245,0,0.6771400270645179,0.5064777947932618,1,0.6771400270645179,52.761572741194485,0,0.6771400270645179,32.49843273958249
E05000033,0,0.48792324271709653,33.212020805812415,0,0.48792324271709653,0.19781522457067371,0,0.48792324271709653,0.11988086195508588,0,0.48792324271709653,27.36119567371202,0,0.48792324271709653,0.2603777245706737,0.14285714285714285,0.48792324271709653,0.5145125495376486,1,0.48792324271709653,45.94398670739761,0,0.48792324271709653,28.80175800858653
E05000034,0.16666666666666666,0.5868296798158418,35.82044814446653,0.16666666666666666,0.5868296798158418,0.2077357521537442,0,0.5868296798158418,0.13565175612988734,0,0.5868296798158418,30.505073144466536,0,0.5868296798158418,0.41062475149105365,0.16666666666666666,0.5868296798158418,0.4546694831013917,1,0.5868296798158418,47.127021040424125,0,0.5868296798158418,26.50775795228628
E05000035,0,0,21.26667493177388,0,0,0.12265029239766082,0,0,0.07348350877192983,0,0,15.850235477582848,0,0,-0.26128397660818714,0,0,0.2465212475633528,0.6666666666666666,0,40.72720771929825,0,0,24.275567407407408
E05000036,0,0.7451705016706557,38.19107843313822,0,0.7451705016706557,0.22231931562359294,0,0.7451705016706557,0.1375202161188654,0,0.7451705016706557,34.73905411976587,0,0.7451705016706557,0.3947393966681675,0.5,0.7451705016706557,0.7496064835659614,1,0.7451705016706557,46.25930895992796,0,0.7451705016706557,29.74057622692481
E05000037,0,0.44655848635775097,32.504395941820796,0,0.44655848635775097,0.19277123361465257,0,0.44655848635775097,0.12892808403663136,0,0.44655848635775097,29.07325543185491,0,0.44655848635775097,0.15686281199497215,0,0.44655848635775097,0.20661258753815767,1,0.44655848635775097,44.73283650565631,0,0.44655848635775097,31.016971898006823
E05000038,0,0.4578317907933806,32.92745677994061,0,0.4578317907933806,0.18688460903992082,0,0.4578317907933806,0.11526484658528538,0,0.4578317907933806,27.66132538766084,0,0.4578317907933806,0.11358198614318708,0.2857142857142857,0.4578317907933806,0.6636542395249093,1,0.4578317907933806,45.44323490597163,0,0.4578317907933806,32.35570018145826
E05000039,0.16666666666666666,0.6011029325464026,36.24136342784326,0,0.6011029325464026,0.22151933736858873,0,0.6011029325464026,0.12279381968779866,0,0.6011029325464026,22.750386683657215,0,0.6011029325464026,0.11947199745141764,0.3333333333333333,0.6011029325464026,0.8372630136986302,1,0.6011029325464026,57.370719974514174,0.16666666666666666,0.6011029325464026,27.98746836572157
E05000040,0,0.6385661445771647,36.28860695526173,0.16666666666666666,0.6385661445771647,0.2162919760912878,0,0.6385661445771647,0.1369826118456801,0,0.6385661445771647,28.569376199963777,0,0.6385661445771647,0.4349668538308278,0,0.6385661445771647,0.5584269154138742,1,0.6385661445771647,44.906043651512405,0,0.6385661445771647,31.716222423474008
E05000041,0.16666666666666666,0.5851006354759426,35.8874481278923,0.16666666666666666,0.5851006354759426,0.21155902397980647,0,0.5851006354759426,0.13240631047538914,0,0.5851006354759426,28.81617770298696,0,0.5851006354759426,0.5179315103071098,0.16666666666666666,0.5851006354759426,0.4755623054270088,1,0.5851006354759426,47.600794362641984,0,0.5851006354759426,24.755461001262095
E05000042,0,0.038723404255319144,24.60992245862884,0,0.038723404255319144,0.13370330969267138,0,0.038723404255319144,0.0820866036249015,0,0.038723404255319144,19.08573892828999,0,0.038723404255319144,-0.10847210401891252,0,0.038723404255319144,0.4935630417651694,0.8333333333333334,0.038723404255319144,40.82360338849488,0,0.038723404255319144,31.517018360914104
E05000043,0,0.05841729638958858,13.071761185078566,0,0.05841729638958858,0.09793085042581265,0,0.05841729638958858,0.07246107712606452,0,0.05841729638958858,7.831680340650114,0,0.05841729638958858,-1.2049994602374956,0,0.05841729638958858,-0.16344746311622885,0.1,0.05841729638958858,25.537059733717165,0,0.05841729638958858,17.94089936427972
E05000044,0,0.1762563774660645,27.874230270817513,0,0.1762563774660645,0.18593955960516326,0,0.1762563774660645,0.11070584662110859,0,0.1762563774660645,20.196193824348267,0,0.1762563774660645,-0.40365902303214374,0.1,0.1762563774660645,0.5061113135914957,0.8,0.1762563774660645,41.48843826879271,0,0.1762563774660645,25.269747911921034
E05000045,0,0.06952539891190956,19.5596137676651,0,0.06952539891190956,0.12649071193671674,0,0.06952539891190956,0.08358163718780552,0,0.06952539891190956,7.618400408852547,0,0.06952539891190956,-0.9316117234023642,0.16666666666666666,0.06952539891190956,0.47818349480046224,0,0.06952539891190956,31.206704604035195,0.08333333333333333,0.06952539891190956,31.812810327970848
E05000046,0,0.19547304447189373,24.78777146242642,0.2,0.19547304447189373,0.17063232933261985,0,0.19547304447189373,0.09444847488724104,0,0.19547304447189373,15.02063810106261,0,0.19547304447189373,-0.8692176056876386,0,0.19547304447189373,0.11699002369849398,0.7,0.19547304447189373,40.071071592385906,0.2,0.19547304447189373,33.720411818668296
E05000047,0,0.017367694598815875,16.50352391569783,0,0.017367694598815875,0.11490895577852099,0,0.017367694598815875,0.0734204491161013,0,0.017367694598815875,7.554258958432872,0,0.017367694598815875,-0.8001545362849711,0,0.017367694598815875,0.3587619047619048,0.1,0.017367694598815875,29.52376254180602,0,0.017367694598815875,23.646716462281677
E05000048,0,0.01463437917647807,15.22328283526228,0,0.01463437917647807,0.11465290493464617,0,0.01463437917647807,0.07354235043473253,0,0.01463437917647807,7.886271607070882,0,0.01463437917647807,-0.8925330223988024,0,0.01463437917647807,0.09932003224506247,0,0.01463437917647807,25.5139011919157,0,0.01463437917647807,24.110227730753728
E05000049,0,0.07532066337750462,15.141487749417317,0,0.07532066337750462,0.11430458757319084,0,0.07532066337750462,0.06875282815075891,0,0.07532066337750462,6.2982112443863345,0,0.07532066337750462,-1.0044223182309135,0,0.07532066337750462,-0.07828582798021716,0.2,0.07532066337750462,29.223470354158376,0,0.07532066337750462,25.580113751350122
E05000050,0,0.005301339285714279,15.261625159438776,0,0.005301339285714279,0.10123517219387755,0,0.005301339285714279,0.06734337797619047,0,0.005301339285714279,9.68383700042517,0,0.005301339285714279,-1.2044488732993197,0,0.005301339285714279,0.018664168792517,0.2,0.005301339285714279,29.769822225765306,0.1,0.005301339285714279,25.799619685374147
E05000051,0,0,10.53168226054294,0,0,0.07721524102213875,0,0,0.05068339878208412,0,0,2.685457515223949,0,0,-1.6827898810540094,0,0,-0.2623360081953219,0.1111111111111111,0,27.785773376586423,0,0,25.18926458368903
E05000052,0,0,9.078108317445185,0,0,0.05177722831267874,0,0,0.0377476167778837,0,0,1.4137415395614872,0,0,-1.9007833651096282,0,0,-0.03807334366062918,0.1,0,27.89886046234509,0,0,25.623240109628217
